Topic Question
__label__the_arts "The prowess liberate science enslaves Discuss"
__label__tourism_and_transportation "Air travel discourage non promoted To extent arrange agree"
__label__globalisation "There decent opportunities society improve one life sentence Do fit"
__label__governance "Should police unlimited force dealing offense"
__label__reading_fiction__stories "Discuss ingathering value phantasy stories film"
__label__economics "Foreign aid perform solve long term problems To extent fair stand"
__label__history "Perform past present offering guidance future tense"
__label__economics "How far lav prosperity uncontrolled population growth go hand hand"
__label__work_and_life "The family possess suffered expense career Singaporean society Is clean comment"
__label__tourism_and_transportation "The tourist non see country inhabitants fuck How far dependable Singapore island"
__label__governance "To extent human rights important people society"
__label__intervention_conflict_and_war "Examine extent outlay limb armed forces live justifiable modern world"
__label__science "Engineering science imprisoned rather liberated uranium Is fair comment"
__label__miscellaneous "Is point trying forebode next trends"
__label__advertising "There thing bad publicity To extent unfeigned"
__label__intervention_conflict_and_war "Is force ever justified"
__label__globalisation "Be outside cooperation almost effective way reducing poverty"
__label__rights_injustices_and_fair_treatment "To extent rights beast protect society"
__label__history "History take us back rather spurs us forward To extent exist reliable"
__label__leadership "A leader responsibleness always personify oregon state early nations Discuss"
__label__religion "Weigh scene science villein mankind better religion"
__label__singapore "How far magazines operating theatre television programmes aimed young people Singapore make positive effect"
__label__history "How important horse sense history shaping hereafter Singapore company"
__label__globalisation "Should external aid give others times economic successfulness"
__label__intervention_conflict_and_war "Constitute violence ever justified"
__label__work_and_life "In age rapid technological progression exclusive career life realistic"
__label__medicine_medical_science_and_health "How effectively public wellness promoted finagle lodge"
__label__gender "Appraise title equality chance females desirable unrealistic end"
__label__sport "Sportswoman politics non mix To extent fare agree"
__label__energy_and_the_environment "Fauna right life human Saucer"
__label__rights_injustices_and_fair_treatment "To extent perform women company face discrimination"
__label__reading_fiction__stories "Cause book still future tense"
__label__energy_and_the_environment "Examine title world cost dependent oil color"
__label__history "History holds us back sooner spur u forward To extent true"
__label__globalisation "There adequate opportunity society ameliorate one life Do agree"
__label__society "Assess view traditional buildings hereafter society"
__label__technology "How far acceptable technology apply financial welfare"
__label__work_and_life "How far firms follow allowed circumscribe worker rights profits stake"
__label__globalisation "We eradicate poorness without first eliminating discrimination Do agree"
__label__population_and_migration "To extent make migration people positive gist"
__label__religion "How far religion act upon political conclusion"
__label__population_and_migration "To extent make migration people positive effect"
__label__sport "To extent value variation determined profitability"
__label__globalisation "Examine extent untried social club allowed make decisions"
__label__intervention_conflict_and_war "How far nation relations others whose human rights record book misfortunate"
__label__reflective "How far information technology possible people address current reality"
__label__work_and_life "Turn sentiment work days could home"
__label__work_and_life "The family hold suffered disbursement career Singaporean companionship Cost fair comment"
__label__family_marriage_youth "Regard view trade good bon ton personify sacrificed individual"
__label__language_and_writing "A picture always greater extent knock mere words What represent view"
__label__family_marriage_youth "Information technology unmanageable parent today Discuss"
__label__family_marriage_youth "Traditional marriage outdated construct To extent true society"
__label__reflective "How far failure crucial part succeeder"
__label__energy_and_the_environment "Environmental concerns economic emergence co exist Do hold"
__label__the_arts "To extent visual arts promote national identity society"
__label__medicine_medical_science_and_health "Should hoi polloi allowed children artificial agency"
__label__the_arts "To extent art fellowship focus local rather foreign natural endowment"
__label__crime_and_punishment "Avarice need largely blame increase offence today Comment"
__label__medicine_medical_science_and_health "Longer life expectancy create problems benefit Discuss"
__label__culture_and_traditions "Do myths legends however sustain role play Singapore"
__label__singapore "The class got suffer expense career Singaporean society Is fair input"
__label__religion "In modern world faith divides unites Discus"
__label__the_arts "Language key cultural identity operator To extent true society"
__label__culture_and_traditions "Do myths legends withal role play Singapore"
__label__governance "How liberal governments"
__label__society "In digital geezerhood newspaper still theatrical role guild"
__label__mathematics_and_statistics "Unlike Artistic creation writing music Mathematics miss mental ability creativeness How far execute match statement"
__label__business_and_economics "Great deal yield inevitably means loss craftsmanship tone Personify true society"
__label__advertising "Ad equal frequently entertaining rarely affect consumer choice Is experience"
__label__governance "In complimentary smart set thither restrictions freedom speech Discus"
__label__tourism_and_transportation "Atmosphere travel discouraged promoted To extent concur"
__label__family_marriage_youth "Love one country always good thing Gossip"
__label__society "Leaders must retain eyes present future tense Comment"
__label__family_marriage_youth "There directly greater pauperism family How rightful society"
__label__science "Assess shock digital age way patronage done today"
__label__intervention_conflict_and_war "The scene Third Universe War unthinkable Do agree"
__label__crime_and_punishment "Is increase intensity level police military group best way battle crime"
__label__rights_injustices_and_fair_treatment "Women always comprise losers competitiveness equality Comment"
__label__singapore "To extent exist young Singapore favoured expense elderly"
__label__religion "Religion important component lives untested people today Consider whether constitute true society"
__label__society "To extent income equality live goal bon ton"
__label__gender "Consider opinion careers better suited one sex"
__label__security_issues__terrorism_security_privacy "Given greater stratum international cooperation necessary information technology land betroth arms trade"
__label__globalisation "Why make concerned current affairs soon personify blank"
__label__reflective "Is rivalry always desirable"
__label__science "Human need rather profit always make chief concern scientific enquiry Discuss"
__label__work_and_life "Practical ability important intellectual skills How far dependable society"
__label__medicine_medical_science_and_health "Should people allowed get children unreal means"
__label__mathematics_and_statistics "How far new technology made unneeded somebody possess numerical skills"
__label__business_and_economics "Profits must follow sole focus businesses Do accord"
__label__reflective "Is favorable rivalry ever possible"
__label__energy_and_the_environment "Is information technology potential protect environment many countries ask increasing amounts zip progress"
__label__education "Books serve little purpose didactics technological evolution become sophisticated How far set agree"
__label__intervention_conflict_and_war "Examine extent expenditure arms armed force justifiable new world"
__label__history "The past times deadened even past Discus"
__label__family_marriage_youth "When political science finances societal welfare limited make directed towards new old"
__label__business_and_economics "To extent small businesses preferable large ones"
__label__language_and_writing "Represent economic value preserving minority languages world"
__label__education "Education live concerned utile biography Discuss"
__label__security_issues__terrorism_security_privacy "Air travel create problems benefit Is mediocre comment"
__label__work_and_life "Do agree metropolis life cost becoming unattractive"
__label__sport "Discuss view competitive sport get tough people"
__label__family_marriage_youth "It hard constitute parent today Discuss"
__label__language_and_writing "The quality write language destroyed social media What vista"
__label__reflective "We postulate less pick How true today"
__label__society "How far country prepared succeeding crises"
__label__advertising "There thing bad promotional material To extent dead target"
__label__energy_and_the_environment "Animals induce like right life humans Discuss"
__label__medicine_medical_science_and_health "The key good health lifestyle sooner medicine How far behave match"
__label__security_issues__terrorism_security_privacy "Gentle wind travel create problems benefits Is honest comment"
__label__crime_and_punishment "To extent possible make penalization meet crime"
__label__technology "How far information technology satisfactory technology used financial benefit"
__label__the_arts "Multitude Artistic creation living beaver state dead receive far recognition Sciences though lesser extent deserved Deal title"
__label__population_and_migration "To extent migration people cocksure effect"
__label__globalisation "In today sec world ethics taken backseat food touch"
__label__leadership "The earthly concern would better piazza political leaders personify woman What prospect"
__label__the_arts "Can club perform without Arts"
__label__the_arts "Can guild without Arts"
__label__rights_injustices_and_fair_treatment "Should embody age limitation employment"
__label__society "How far comprise society prepared pressing issues"
__label__intervention_conflict_and_war "Does bearing foreign power ever help area problems"
__label__technology "In old age rapid technical advancement single vocation lifetime realistic"
__label__rights_injustices_and_fair_treatment "Should geezerhood restrictions employment"
__label__society "How effectively public health promoted managed beau monde"
__label__history "Is History anything study war"
__label__family_marriage_youth "Traditional marriage comprise superannuated concept To extent dead target society"
__label__religion "Religion divides rather unites today earthly concern Discuss"
__label__family_marriage_youth "The traditional use father longer relevant today Do agree"
__label__economics "How far lavatory prosperity uncontrolled population growth go script hand"
__label__science "Experimentation beast necessary scientific enquiry How far agree"
__label__geography "National boundaries make little geographical surgery economical horse sense nowadays Discuss"
__label__culture_and_traditions "Do handicrafts still value simple machine raise good readily usable"
__label__reflective "The valuable commodity modern lifespan sentence Manage agree"
__label__singapore "To extent young Capital singapore favoured expense aged"
__label__economics "Foreign aid solve long condition problems To extent comely viewpoint"
__label__governance "Land gain cooperation competition today How far agree"
__label__gender "The world would good situation political drawing card women What view"
__label__reflective "Happiness constitute hands How far check claim"
__label__the_arts "In society location level learning alien language"
__label__the_arts "Think view artistic production play significant theatrical role order"
__label__reflective "Is friendly rivalry time possible"
__label__society "The great unwashed world health organization worthwhile job rarely receive good fiscal reward To extent true society"
__label__geography "National boundaries make little geographic operating theater economic common sense nowadays Discuss"
__label__medicine_medical_science_and_health "Only full bodied buns afford To extent true"
__label__geography "National boundaries piddle small geographical economical sense nowadays Discuss"
__label__advertising "There affair high risk publicity To extent true"
__label__culture_and_traditions "How important information technology people company retain sense tradition"
__label__the_arts "Fundament fiction ever truthful"
__label__governance "How far religion tempt political decisions"
__label__security_issues__terrorism_security_privacy "Hosting major sporting event creates problem benefits Suffice agree"
__label__economics "Be poor inevitable feature order"
__label__science "To extent fare technology complicate rather simplify lives"
__label__technology "Does innovative world lieu likewise much reliance technology"
__label__medicine_medical_science_and_health "Should medical science always seek prolong animation"
__label__science "Be effective farming possible without scientific discipline"
__label__work_and_life "In age rapid technological advancement single life history living naturalistic"
__label__globalisation "Probe extent terrorism scourge global security today"
__label__society "Touristry impoverishes us Do hold"
__label__singapore "Do arts music lit actually play important role Singaporean society"
__label__gender "Evaluate call equality chance females desirable merely unrealistic goal"
__label__geography "National boundaries make footling geographic economical sense nowadays Discuss"
__label__religion "Religion import theatrical role lives young mass today Consider whether key society"
__label__gender "History phonograph recording manful acts compose male person holds picayune interest group female result Is fair comment"
__label__society "To extent society title great"
__label__population_and_migration "Should land encourage migration today"
__label__society "The liveability metropolis depends well humanities fit developed Is true society"
__label__rights_injustices_and_fair_treatment "People privilege ratio intelligence Gossip"
__label__gender "Account records male act written male sustain little interest female person outcome Is fair scuttlebutt"
__label__history "Fare past present crack direction future"
__label__language_and_writing "The world would better lieu everyone speak like words Discuss"
__label__the_arts "Examine aspect Artistic creation wealthy"
__label__reflective "In today world style important substance What opinion"
__label__reflective "Do choices reality make lives easily"
__label__business_and_economics "To extent income equality end guild"
__label__leadership "As long people public heart serve job intimately count secret"
__label__energy_and_the_environment "In society advantageously demand thriftiness environment balanced"
__label__globalisation "To extent development area affected geographic factors"
__label__family_marriage_youth "The traditional roles father longer relevant today Do agree"
__label__education "In society effectively schools prepare young demand saving"
__label__economics "Is location still place greek valerian today world"
__label__globalisation "How important hoi polloi bon ton embrace uncertainty"
__label__globalisation "Saucer claim modern world people care astir international home yield"
__label__reflective "Make responsibility Explore possible deservingness likely drawbacks always obeying directive"
__label__economics "Foreign aid come solve long term problems To extent point view"
__label__business_and_economics "There excessively much emphasis economical development Follow true club"
__label__society "Traditional marriage outdated construct To extent true society"
__label__history "History platter manly acts written males holds small interest female termination Is fair commentary"
__label__gender "The world would represent better seat greater extent political leaders women What view"
__label__mathematics_and_statistics "Discuss view much religion placed statistics"
__label__globalisation "How important people society retain sense nostalgia"
__label__reflective "The near worthful trade good modern lifetime time Do agree"
__label__the_arts "Should emphasis make place traditions society"
__label__language_and_writing "Is place value preserving minority languages human race"
__label__energy_and_the_environment "Tune travel make problems benefits Is fair comment"
__label__miscellaneous "Does travel propose anything escape realism"
__label__mass_media "In digital years newspapers still use club"
__label__population_and_migration "Migrant inconvenient necessity Is rightful"
__label__tourism_and_transportation "Lav transport food brobdingnagian aloofness justified"
__label__family_marriage_youth "How far magazine television program aimed young people Capital singapore positive effect"
__label__language_and_writing "Are certain types write superior others"
__label__business_and_economics "Business comprise concerned environmental protection How realistic attitude"
__label__family_marriage_youth "In location neat pauperization kin How true society"
__label__society "Can national identity comprise forged multi ethnic societies"
__label__family_marriage_youth "Information technology greater extent difficult constitute parent today Discuss"
__label__business_and_economics "Consider view affluence poses problems solves"
__label__culture_and_traditions "Assess wallop foreign film foreign TV program civilization society"
__label__the_arts "For majority people Arts irrelevant daily life How true company"
__label__rights_injustices_and_fair_treatment "To extent woman society face discrimination"
__label__work_and_life "How far business firm allowed limit workers rights profits comprise stake"
__label__reflective "Historic period roadblock success How far coiffe concur"
__label__reflective "At place opportunity every crisis Do agree"
__label__crime_and_punishment "The harsher punishment effective exist Discuss"
__label__the_arts "Discuss value euphony"
__label__gender "Women never enjoy like rights men Execute agree"
__label__family_marriage_youth "Compassion place competitive guild Be true"
__label__energy_and_the_environment "Should pursuit environmental causes encompass cost"
__label__globalisation "Is international cooperation effectual way reduce poorness"
__label__globalisation "How far countries take aim self sufficient"
__label__crime_and_punishment "Rehabilitation non punishment purpose justness system Discuss"
__label__singapore "Do myths legends still role play Singapore"
__label__security_issues__terrorism_security_privacy "How far state right supervise actions people within border"
__label__society "Organized religion significant part lives young masses today Believe whether true society"
__label__science "With emphasis applied science elderly country go forth behind"
__label__singapore "Many highly developed countries pay increase attention pauperism disadvantaged How far truthful Singapore"
__label__the_arts "A society non note value Arts miss personal identity Do agree"
__label__medicine_medical_science_and_health "Longer animation expectancy create problems benefits Discuss"
__label__singapore "Do myths legends still function play Singapore"
__label__population_and_migration "Migrants inconvenient essential Is dead target"
__label__family_marriage_youth "To extent young Capital singapore favoured expense elderly"
__label__business_and_economics "Are honorable practices key successful business concern"
__label__history "Historical records questionable base much sensing fact Is reasonable comment"
__label__science "Skill business comprise maintain disjoined What view"
__label__sport "To extent value sport determined information technology profitability"
__label__science "Discuss prospect much faith equal placed immature technology"
__label__religion "A world without religion leave make better unity Do agree"
__label__globalisation "How important personify information technology great unwashed society retain gumption nostalgia"
__label__economics "Should poorer commonwealth develop tourist manufacture basic needs masses encounter"
__label__crime_and_punishment "How far satisfactory public mete justice wrongdoing"
__label__family_marriage_youth "Traditional spousal relationship date concept To extent unfeigned society"
__label__mass_media "To extent newspapers magazines read deal piddling rather represent important"
__label__reflective "To extent human aliveness general survival fittest"
__label__tourism_and_transportation "Line travel discouraged promote To extent agree"
__label__family_marriage_youth "How far make magazines operating theater television programmes take aim young great unwashed Singapore positivistic effect"
__label__globalisation "In times economic adversity state still expected ply fiscal material aid others"
__label__globalisation "Examine extent young smart set allowed make decisions"
__label__medicine_medical_science_and_health "How far medical imagination habituate extend life anticipation"
__label__mathematics_and_statistics "Unlike Humanities writing operating theatre music Mathematics lack electrical capacity creativity How far answer agree assertion"
__label__gender "Conceive persuasion careers better suited one gender"
__label__rights_injustices_and_fair_treatment "How far commode needs minority contact modern Singapore"
__label__culture_and_traditions "Do myths legend nonetheless take role play Singapore"
__label__medicine_medical_science_and_health "We let become reliant medical technology today Do correspond statement"
__label__science "Instead empowering humanity applied science bear enslave humanity To extent agree"
__label__crime_and_punishment "Should crimes committed many days ago simply forgotten"
__label__business_and_economics "Are honourable practices key successful business"
__label__crime_and_punishment "Should police take unlimited ability dealing crime"
__label__work_and_life "People today work hard past How dependable social club"
__label__the_arts "In times economical hardship land yet invest Arts"
__label__reflective "There comprise point make future know future brings How far make agree"
__label__economics "How far increased prosperity naturalistic goal guild"
__label__technology "To extent technology negative impact skill levels citizenry"
__label__family_marriage_youth "The increasing focus superheroes prejudicial growth children Discuss"
__label__tourism_and_transportation "Should poorer countries develop tourist industry basic needs people make make play"
__label__mathematics_and_statistics "How far sustain forward looking technology made unnecessary individuals possess mathematical skills"
__label__economics "How effective international cause ease problem spherical hunger"
__label__reflective "The worthwhile grade discipline self discipline Discus"
__label__history "Is work Account increasingly lose relevance today world"
__label__family_marriage_youth "It hard parent today Discuss"
__label__singapore "The family suffer expense career Singaporean high society Follow fair commentary"
__label__the_arts "Works art slay country origin deliver Discuss"
__label__society "Entirely advanced architecture advanced art situation today world How true society"
__label__energy_and_the_environment "To extent medium advanced cause conservation"
__label__leadership "A leader responsibleness always exist body politic non nations Discuss"
__label__medicine_medical_science_and_health "How effectively embody public health promoted managed beau monde"
__label__language_and_writing "The existence would well spot everyone spoke language Discuss"
__label__work_and_life "Or else belt along upward pace life represent slowing What recollect"
__label__history "Is History anything study war"
__label__reflective "Promises never broken What view"
__label__business_and_economics "To extent success society measured economic growth"
__label__rights_injustices_and_fair_treatment "A civilised society characterised allowance Discuss"
__label__the_arts "Public money wasted supporting Arts Discus view light within society today"
__label__governance "Commonwealth good cooperation contention today How far harmonize"
__label__economics "How far forcible features size location determine state siemens progress"
__label__family_marriage_youth "It equal difficult parent today Discus"
__label__geography "How far strong arm characteristic size location determine country reciprocal ohm advance"
__label__tourism_and_transportation "Stern delight food vast aloofness justified"
__label__mass_media "The media advertize sense fear people unnecessary undesired Saucer"
__label__language_and_writing "Are sure types writing ranking others"
__label__history "History holds us back rather spur uracil forward To extent true"
__label__mass_media "To extent rely newspaper publisher keep u well informed"
__label__work_and_life "People worthwhile jobs rarely experience good financial wages To extent lawful society"
__label__gender "Char enjoy rights men Do consort"
__label__history "History holds u rear rather spur us forward To extent reliable"
__label__reading_fiction__stories "Book serve footling intent education technological developments become greater extent sophisticated How far perform agree"
__label__globalisation "How important people society embrace uncertainty"
__label__gender "Women bequeath never delight rights manpower Do agree"
__label__energy_and_the_environment "Should location dominance production doe need great"
__label__miscellaneous "Seat humour ever serious"
__label__business_and_economics "To extent Country involve worldly concern business organisation"
__label__reading_fiction__stories "Any adjustment novel celluloid television theatre never effective original Discus"
__label__the_arts "The fine art deepen world merely stool beautiful Discuss view reference one pursuit painting carving music"
__label__medicine_medical_science_and_health "The key safe wellness lifestyle quite medicine How far come agree"
__label__the_arts "Discuss value music"
__label__population_and_migration "To extent migration people receive positive effect"
__label__the_arts "To extent Mathematics considered form artistry"
__label__the_arts "Medicine gratifying merely essentially frivolous pursuit Is fairish comment"
__label__medicine_medical_science_and_health "People concerned nutrient eat information technology comes To extent agree"
__label__population_and_migration "To extent migration people suffer positive effect"
__label__medicine_medical_science_and_health "Should medical science constantly search prolong life"
__label__religion "Religion divides instead unites today public Discuss"
__label__globalisation "The spheric requirement food live met expense environment To extent agree"
__label__society "Bandstand upwardly rights Is sound advice"
__label__crime_and_punishment "How far individual hold responsible crimes humanity"
__label__society "To extent income equation goal company"
__label__history "History hold us back rather spur us forward To extent follow true"
__label__economics "Personify elimination globular poverty naturalistic aim"
__label__business_and_economics "Business exist doe environmental protection How naturalistic position"
__label__society "Traditions increasingly irrelevant today world Doh harmonize"
__label__singapore "The tourist catch country inhabitant know How far comprise true Singapore"
__label__miscellaneous "Can humour ever sober"
__label__intervention_conflict_and_war "Countries go conflict cost left screen problems How far agree"
__label__gender "Evaluate claim equality opportunity female desirable unrealistic goal"
__label__reflective "Is still place loyalty today"
__label__science "To extent government blamed poverty within state"
__label__energy_and_the_environment "Is point fight back animal right"
__label__reading_fiction__stories "Discuss prayer economic value fantasy stories films"
__label__advertising "There thing high risk promotion To extent true"
__label__geography "Subject boundaries create footling geographical economic sense nowadays Discuss"
__label__medicine_medical_science_and_health "Consider view shoot enough obligation well cost"
__label__history "History holds us backwards rather spurs us forward To extent unfeigned"
__label__science "Should extremely excited seriously alarmed rapid progress made field robotics hokey intelligence agency"
__label__advertising "There affair defective publicity To extent true"
__label__history "Act study story make optimistic oregon pessimistic astir future human race"
__label__reflective "The individual dies robust dies disgraced Saucer"
__label__population_and_migration "Longer life expectancy create job benefits Discuss"
__label__education "How far education solution inequality"
__label__gender "Measure claim equality chance females worthy merely unrealistic goal"
__label__history "Chronicle holds us back sort spurs us forward To extent constitute true"
__label__rights_injustices_and_fair_treatment "A civilised club characterize tolerance Discuss"
__label__the_arts "Is library redundant today worldly concern"
__label__business_and_economics "Consider view richness poses trouble solves"
__label__the_arts "Masses longer read pleasure Discus"
__label__globalisation "Follow international cooperation efficient way reducing impoverishment"
__label__globalisation "How far elitism trouble society"
__label__leadership "A drawing card duty always operating theatre commonwealth country Discuss"
__label__miscellaneous "To extent people judged physical appearance abilities"
__label__intervention_conflict_and_war "In sentence economic hardship country stock still cost expect provide financial material aid others"
__label__family_marriage_youth "In respect constitute greater need family How true social club"
__label__governance "When government finances social wellbeing restrict directed towards immature operating theatre former"
__label__the_arts "If arts regulated lose value Doctor osteopathy concord Discuss reference matchless pursual acting nontextual matter visual arts"
__label__reflective "Fare duty Explore possible deservingness likely drawback always obeying directive"
__label__security_issues__terrorism_security_privacy "Tail trade weapons ever justified"
__label__language_and_writing "The world would secure lieu everyone spoke like speech Discuss"
__label__history "Should offense committed many years ago forgotten"
__label__gender "Evaluate claim equivalence opportunity females make desirable unrealistic end"
__label__society "Politicians merely react events Is scuttlebutt"
__label__reflective "Age roadblock success How far agree"
__label__family_marriage_youth "There greater demand family How true society"
__label__family_marriage_youth "Compassion place competitive society Is key"
__label__mathematics_and_statistics "Can mathematics take anything useful tool everyday life"
__label__work_and_life "In age speedy technological advancement undivided career life realistic"
__label__mathematics_and_statistics "How reliable statistics guide planning future"
__label__religion "A world without organized religion good single Brawl agree"
__label__language_and_writing "Consider view spoken language greater extent important written descriptor"
__label__the_arts "Make worth spending large sums money arts society"
__label__medicine_medical_science_and_health "We become reliant medical technology today Do gibe statement"
__label__society "How important people society keep back sense tradition"
__label__society "How significant tradition society today"
__label__the_arts "Examine role medicine establish national identity high society"
__label__language_and_writing "View view spoken nomenclature authoritative written form"
__label__leadership "The influential soul history caused harm How far would admit position"
__label__leadership "The world would better place political leader women What follow eyeshot"
__label__security_issues__terrorism_security_privacy "Soft power trump military might To extent true globalised world"
__label__business_and_economics "How far firms allow limit worker rights net income stake"
__label__business_and_economics "To extent succeeder lodge measured information technology economic growth"
__label__history "Does study history make affirmative operating room pessimistic future human subspecies"
__label__society "Assess shock strange films foreign video programmes culture companionship"
__label__advertising "Advert great deal entertaining rarely affect consumer choice Is experience"
__label__religion "A universe without religion leave constitute better one Bash agree"
__label__education "An grasp euphony follow vital fully rounded education How key society"
__label__globalisation "At place enough opportunities society improve single life Bash harmonise"
__label__science "Privy space research justify nowadays"
__label__reflective "Money motivator mass today Comment"
__label__history "Do past present pass guidance future tense"
__label__society "To extent rights creature protected guild"
__label__the_arts "Should emphasis commit traditions society"
__label__mass_media "Consider title media today misinforms informs"
__label__singapore "Do fine art euphony lit really play significant theatrical role Singaporean company"
__label__the_arts "Be fair say artistic creation nothing solve problems society"
__label__singapore "The family sustain disbursement life history Singaporean club Is fair comment"
__label__education "Is want education etymon effort crime today"
__label__science "Having designer babies right Ut agree"
__label__governance "To extent hapless governance responsible increasing insecurity many country today"
__label__reflective "How far agree monitoring keeping upwards trends cost meaningless pursuit"
__label__mass_media "To extent medium reflect incorrect society today"
__label__family_marriage_youth "Rich person children today lose childhood"
__label__family_marriage_youth "In respect greater need category How reliable society"
__label__business_and_economics "Does impression big businesses impairment good even hold true today"
__label__science "Too much knowledge unsafe thing Is true growing science technology modern world"
__label__the_arts "A career creative person attractive ever Scuttlebutt"
__label__geography "National bound create little geographical surgery economic sense nowadays Discuss"
__label__the_arts "To extent art society stress local rather foreign talent"
__label__security_issues__terrorism_security_privacy "Host major sporting events creates problem benefit Arrange agree"
__label__leadership "The world would better place greater extent political leadership women What scene"
__label__religion "A world without religion embody better single Do agree"
__label__mass_media "Consider argument principal determination television educate quite simply entertain"
__label__medicine_medical_science_and_health "Should aesculapian science always seek prolong life story"
__label__geography "National boundaries make fiddling geographic economical sense nowadays Discuss"
__label__business_and_economics "Consumers cost mercy corporations Discuss"
__label__history "History holds us back rather spurs us frontwards To extent true"
__label__science "Technology imprisoned rather unloosen us Be clean comment"
__label__sport "Take chance sport undermines spirit banned How realistic equal posture"
__label__the_arts "In times economic hardship land still induct Artistry"
__label__mass_media "Energy violence visual medium portray reality oregon encourage unacceptable"
__label__work_and_life "People world health organization worthwhile jobs rarely receive best financial reward To extent true guild"
__label__education "In society effectively shoal educate young demands economy"
__label__tourism_and_transportation "Should poorer state develop tourer industry basic needs people met"
__label__geography "How far forcible features size location watch state advancement"
__label__reflective "Greed always Man greatest sin What sight"
__label__society "Examine claim people companionship dependent government"
__label__language_and_writing "A picture embody always powerful simple words What view"
__label__intervention_conflict_and_war "No cause worth die Saucer"
__label__mass_media "How far powder store tv program aimed young people Singapore positive effect"
__label__governance "Migrants threat security stableness land today Comment"
__label__technology "How far satisfactory technology live use financial benefit"
__label__family_marriage_youth "It greater extent difficult live parent today Saucer"
__label__work_and_life "Instead rush along pace life live slack information technology What recall"
__label__reflective "Zilch materialize chance location thing luck Saucer"
__label__business_and_economics "Businesses follow occupy environmental protection How realistic placement"
__label__geography "National bound puddle little geographical economic sense Discuss"
__label__medicine_medical_science_and_health "Should everyone expected donate suitable organ death"
__label__reading_fiction__stories "Books wait small purpose education technological evolution become sophisticated How far set agree"
__label__globalisation "How far land prepared grievous outbreak disease"
__label__society "Much entreaty little note value Personify clever verbal description tourism modern world"
__label__business_and_economics "To extent State department involve human race business"
__label__religion "Do think world upright place everyone let organized religion"
__label__reflective "How important dreams"
__label__mathematics_and_statistics "Discus view much faith personify placed statistics"
__label__singapore "Assess importance food within Singaporean finish"
__label__reading_fiction__stories "The leger position modern society Discuss"
__label__reflective "The truth leave set free Do concord"
__label__science "Assess impact digital long time way business organisation done today"
__label__the_arts "Would information technology weigh whole performing arts venues society concert halls theatre closed"
__label__energy_and_the_environment "The developed creation stick incumbrance climate change Discuss"
__label__culture_and_traditions "Do myths legends however role play Singapore"
__label__language_and_writing "Are certain types writing higher ranking others"
__label__society "Leaders must keep optic present future tense Comment"
__label__reading_fiction__stories "The book spot modern society Discus"
__label__family_marriage_youth "To extent young Singapore favoured expense elderly"
__label__science "Scientific discipline requires every bit much faith requires logic Comment"
__label__leadership "The world would good spot greater extent political leaders fair sex What view"
__label__geography "How far set physical feature film size fix determine country progress"
__label__history "Do study chronicle make optimistic pessimistic astir future human race"
__label__family_marriage_youth "At place greater need family How honest society"
__label__history "Equal field History increasingly losing information technology relevance today world"
__label__family_marriage_youth "In location peachy need family line How true society"
__label__globalisation "How far society prepare challenges multifariousness brings"
__label__history "The influential individuals history make caused harm How far would accept horizon"
__label__technology "In historic period speedy technological advancement undivided career life realistic"
__label__history "History holds us book binding rather spur us forrard To extent straight"
__label__geography "How far serve physical features size position determine nation progress"
__label__family_marriage_youth "Should people provide hold children hokey means"
__label__security_issues__terrorism_security_privacy "To extent engineering take impact concealment security country"
__label__science "Equal effective farming possible without science"
__label__business_and_economics "Consumers mercifulness corporations Saucer"
__label__crime_and_punishment "Reclamation punishment exist purpose justice system Discus"
__label__religion "The skill advances organized religion testament decline To extent agree"
__label__energy_and_the_environment "Should controls concluded production energy motive information technology great"
__label__family_marriage_youth "It difficult live parent today Discus"
__label__work_and_life "Consider sentiment work days could done home"
__label__security_issues__terrorism_security_privacy "Hosting major sporting events creates problems benefits Serve tally"
__label__society "How important great unwashed smart set retain sense tradition"
__label__globalisation "International cooperation place militant cosmos Discuss"
__label__the_arts "There equal value visiting museums today Saucer"
__label__medicine_medical_science_and_health "Thirster life expectancy creates problems benefits Discus"
__label__intervention_conflict_and_war "Probe extent expenditure weapon system armed force justifiable modern world"
__label__tourism_and_transportation "The tourist figure commonwealth habitant know How far dependable Singapore"
__label__globalisation "Can small state hold significant voice world affairs"
__label__society "Is necessity wedding time eld"
__label__family_marriage_youth "Children society victims parents ambitiousness Discus"
__label__security_issues__terrorism_security_privacy "Air travel creates problem benefits Is fair gossip"
__label__mass_media "Do agree social mass medium given wage increase divided world"
__label__business_and_economics "To extent act multi national corporations worsen floor inequality humankind"
__label__business_and_economics "Ar ethical practice francis scott key successful business"
__label__globalisation "How effective international efforts tackle global health terror"
__label__family_marriage_youth "It hard parent today Discus"
__label__the_arts "A oeuvre art never value financial terms Discus"
__label__business_and_economics "In times economical difficulty country even concerned environmental preservation"
__label__leadership "Do case rather politician regulate future"
__label__leadership "A good drawing card must incessantly look beyond needs body politic Coiffe agree"
__label__energy_and_the_environment "Saucer eyeshot increasing worldwide penury energy every potential source exploited entire"
__label__the_arts "Can order execute without Arts"
__label__globalisation "Consider aspect near way fight impoverishment ameliorate lives women"
__label__geography "National boundaries make trivial geographical economical sentience nowadays Discuss"
__label__gender "Consider view careers intimately suit one grammatical gender"
__label__rights_injustices_and_fair_treatment "Everyone get belief everyone public opinion equal note value What personify view"
__label__rights_injustices_and_fair_treatment "To extent represent rights animals protected society"
